,iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
96,97,0.221269,3.39516,3.61643,19,0,2455,2346,12.0095,1.72e-07,12.009499828,1845.0006928,67
97,98,0.221414,5.19096,5.41237,39,17,2511,2398,7.98635,7.12651,15.1129,1865.5259628000001,67
98,99,0.223586,4.33696,4.56055,40,11,2562,2442,8.99178,7.11859,16.1104,1886.1969128,67
99,100,0.2007,11.4352,11.6359,6,0,2568,2448,11.6286,9.7e-08,11.628599903000001,1909.461412703,68
100,101,0.223404,6.45181,6.67522,42,14,2624,2503,7.7967,8.27462,16.0713,1932.2079327029999,68
101,102,0.223454,4.60688,4.83033,15,0,2639,2518,11.4122,1.05e-07,11.412199895,1948.4504625979998,69
102,103,0.22309,5.88923,6.11232,15,0,2654,2531,11.9791,1.21e-07,11.979099879000001,1966.541882477,70
103,104,0.223759,4.88804,5.1118,13,0,2667,2543,11.479,1.08e-07,11.478999892,1983.132682369,71
104,105,0.226126,7.30231,7.52844,18,0,2685,2558,10.6611,1.01e-07,10.661199899,2001.3223222679999,72
105,106,0.221746,4.65129,4.87304,29,16,2730,2602,8.48463,7.69868,16.1833,2022.378662268,72
106,107,0.226344,2.37494,2.60128,28,4,2762,2633,10.4656,8.14972,18.6153,2043.595242268,72
107,108,0.225659,3.83145,4.05711,33,12,2807,2677,10.8166,6.55431,17.371,2065.023352268,72
108,109,0.223513,5.44859,5.6721,22,0,2829,2697,10.6618,1.34e-07,10.661799865999999,2081.357252134,73
109,110,0.226519,7.46631,7.69283,19,0,2848,2713,11.3388,9.7e-08,11.338799903000002,2100.3888820370003,74
110,111,0.226393,3.99177,4.21816,32,13,2893,2756,9.37459,7.06145,16.4361,2121.043142037,74
111,112,0.224823,6.93415,7.15897,28,16,2937,2797,9.39948,7.5059,16.9054,2145.107512037,74
112,113,0.202017,9.77923,9.98124,0,0,2937,2797,13.1566,9.2e-08,13.156599907999999,2168.245351945,75
113,114,0.224685,2.32213,2.54681,15,0,2952,2811,11.3012,1.83e-07,11.301199817,2182.093361762,76
114,115,0.221897,4.14649,4.36839,34,17,3003,2859,8.42097,7.26607,15.6871,2202.148851762,76
115,116,0.225449,6.51915,6.7446,21,0,3024,2880,10.3972,1.27e-07,10.397199873,2219.290651635,77
116,117,0.225808,4.47185,4.69766,8,0,3032,2888,12.0477,1.23e-07,12.047699877000001,2236.0360115119997,78
117,118,0.225157,8.26263,8.48778,38,30,3100,2949,8.40147,6.99193,15.3934,2259.9171915119996,78
118,119,0.22593,5.47797,5.7039,13,0,3113,2960,11.8745,1.17e-07,11.874499882999999,2277.495591395,79
119,120,0.224367,7.54509,7.76945,22,0,3135,2979,11.2152,1.1e-07,11.21519989,2296.480241285,80
120,121,0.226804,2.23787,2.46467,29,4,3168,3011,9.41169,9.12419,18.5359,2317.480811285,80
121,122,0.225873,3.03305,3.25893,9,0,3177,3020,12.3628,6.7e-08,12.362799933,2333.102541218,81
122,123,0.228581,8.10124,8.32982,14,0,3191,3032,12.0082,1.34e-07,12.008199866,2353.4405610840004,82
123,124,0.226476,5.96661,6.19309,11,0,3202,3042,12.3655,1.11e-07,12.365499889,2371.9991509730003,83
124,125,0.228357,2.47207,2.70043,33,13,3248,3085,8.91524,6.99688,15.9121,2390.611680973,83
125,126,0.227508,4.78312,5.01063,9,0,3257,3093,11.8889,1.26e-07,11.888999874,2407.511310847,84
126,127,0.227908,5.24451,5.47242,33,17,3307,3137,9.60989,7.10496,16.7149,2429.698630847,84
127,128,0.228061,1.5309,1.75896,32,4,3343,3172,9.36218,7.84325,17.2054,2448.662990847,84
128,129,0.226965,3.74873,3.9757,36,10,3389,3214,9.3958,7.79923,17.1951,2469.833790847,84
129,130,0.22826,9.29285,9.52111,32,36,3457,3273,9.14338,6.82641,15.9698,2495.324700847,84
130,131,0.228831,3.20287,3.4317,10,0,3467,3281,12.1814,1.19e-07,12.181399881,2510.9378007279997,85
131,132,0.231081,7.55432,7.7854,13,0,3480,3291,11.7321,1.3e-07,11.73209987,2530.4553005979997,86
132,133,0.228839,7.38646,7.6153,25,10,3515,3326,9.90432,7.1543,17.0586,2555.1292005979994,86
133,134,0.231442,5.01803,5.24947,14,0,3529,3337,12.0564,9.8e-08,12.056399902,2572.4350704999993,87
134,135,0.227132,4.1458,4.37293,38,23,3590,3388,8.24381,7.09168,15.3355,2592.1435004999994,87
135,136,0.226969,7.39781,7.62478,10,0,3600,3397,12.2541,1.21e-07,12.254199879000002,2612.0224803789993,88
136,137,0.230273,3.25536,3.48564,24,0,3624,3416,10.952,9.1e-08,10.952,2626.4601203789994,89
137,138,0.229455,4.72252,4.95198,32,16,3672,3454,10.5891,7.49998,18.0891,2649.5012003789993,89
138,139,0.227391,3.59232,3.81972,15,0,3687,3469,11.7625,1.13e-07,11.762499886999999,2665.0834202659994,90
139,140,0.229445,5.52861,5.75805,15,0,3702,3483,11.8174,1.23e-07,11.817399877,2682.6588701429996,91
140,141,0.229713,8.04247,8.27218,27,26,3755,3531,10.0882,7.1388,17.227,2708.1580501429994,91
141,142,0.22969,1.65631,1.886,28,11,3794,3566,9.09332,8.1914,17.2847,2727.3287501429995,91
142,143,0.233171,5.60781,5.84098,34,15,3843,3609,9.32444,7.00687,16.3313,2749.5010301429993,91
143,144,0.231873,7.3896,7.62148,12,0,3855,3619,12.4382,7.5e-08,12.438199925,2769.5607100679995,92
144,145,0.232847,3.10271,3.33556,15,0,3870,3632,11.2988,8.5e-08,11.298799915,2784.1950699829995,93
145,146,0.230061,3.66678,3.89684,14,0,3884,3644,12.1177,9.4e-08,12.117699905999999,2800.2096098889997,94
146,147,0.229789,6.16832,6.39811,18,0,3902,3661,11.6488,1.28e-07,11.648799872,2818.2565197609997,95
147,148,0.232182,2.69364,2.92583,38,9,3949,3703,9.56265,7.29103,16.8537,2838.0360497609995,95
148,149,0.232056,5.95857,6.19063,15,0,3964,3717,12.3891,1.03e-07,12.389099897,2856.6157796579996,96
149,150,0.224684,7.79353,8.01821,16,0,3980,3731,10.5655,1.24e-07,10.565499876,2875.1994895339994,97
150,151,0.23249,3.75433,3.98682,11,0,3991,3742,12.343,1.19e-07,12.342999881,2891.5293094149993,98
151,152,0.234491,6.27828,6.51277,39,17,4047,3788,9.10744,8.34013,17.4476,2915.489679414999,98
152,153,0.233806,4.86481,5.09862,12,0,4059,3798,11.8711,8.8e-08,11.871099912,2932.459399326999,99
153,154,0.235719,4.46044,4.69616,17,0,4076,3813,11.5457,1.4e-07,11.54579986,2948.701359186999,100
