iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
170,0.235401,5.66858,5.90398,11,0,11,4192,12.1563,1.05E-07,12.1563,3425.28,111
171,0.226786,9.34539,9.57218,26,34,60,4247,9.5951,7.71012,17.3052,3453.16,111
172,0.234461,4.57776,4.81222,38,25,63,4298,8.51384,7.98088,16.4947,3475.47,111
173,0.236905,5.57789,5.81479,12,0,12,4310,12.5022,9.70E-08,12.5022,3494.79,112
174,0.235357,4.8153,5.05066,11,0,11,4317,12.7778,1.15E-07,12.7778,3513.63,113
175,0.235273,5.82413,6.0594,31,14,45,4357,10.1631,7.02779,17.1909,3537.88,113
176,0.236475,5.54033,5.7768,14,0,14,4369,12.198,8.80E-08,12.198,3556.86,114
177,0.239214,6.45539,6.6946,12,0,12,4381,12.0489,1.02E-07,12.0489,3576.61,115
178,0.239883,4.94004,5.17993,33,20,53,4429,8.45953,6.7563,15.2159,3598.01,115
179,0.240554,8.10375,8.3443,15,0,15,4443,11.1996,1.18E-07,11.1996,3618.56,116
180,0.240263,5.33577,5.57603,18,0,18,4459,12.2294,9.70E-08,12.2294,3637.37,117
181,0.239752,4.54995,4.7897,32,12,44,4499,9.41105,8.79727,18.2083,3661.37,117
182,0.240928,3.99469,4.23561,4,0,4,4503,12.8434,1.40E-07,12.8434,3679.45,118
183,0.242062,5.89327,6.13533,11,0,11,4511,11.9076,1.98E-07,11.9076,3698.5,119
184,0.241133,6.66557,6.9067,13,0,13,4522,12.3868,1.54E-07,12.3868,3718.8,120
185,0.240866,5.1836,5.42447,18,0,18,4536,11.2201,9.40E-08,11.2201,3736.45,121
186,0.243819,5.72408,5.9679,12,0,12,4545,12.708,1.53E-07,12.708,3756.13,122
187,0.244197,8.50805,8.75224,13,0,13,4558,11.8771,1.01E-07,11.8771,3777.76,123
188,0.243748,4.699,4.94275,18,0,18,4575,10.7363,1.15E-07,10.7363,3794.45,124
189,0.243282,5.25699,5.50027,16,0,16,4590,11.5765,1.51E-07,11.5766,3812.53,125
190,0.24196,5.81711,6.05907,13,0,13,4602,11.7293,1.18E-07,11.7293,3831.32,126
191,0.245066,6.04177,6.28684,17,0,17,4617,10.9145,1.17E-07,10.9145,3849.53,127
192,0.244211,5.95806,6.20227,14,0,14,4629,11.3987,1.18E-07,11.3987,3868.13,128
193,0.242932,7.79597,8.0389,15,0,15,4642,11.871,1.42E-07,11.8711,3889.05,129
194,0.244709,2.9601,3.20481,10,0,10,4649,12.6442,7.50E-08,12.6443,3905.9,130
