iteration, 2MiB get time, recover pysical , sum getting time, former flip, later flip, sum flip, flip in page, form time, later time, searching time, entire time,dump
139,0.0501466,8.49769,8.54783,14,8,22,4336,11.6982,10.7613,22.4595,3737.75,0
140,0.0478563,3.79268,3.84053,38,19,57,4389,7.91573,7.10484,15.0206,3757.61,0
141,0.0495234,4.73317,4.78269,12,9,21,4404,11.3903,11.2173,22.6076,3786.01,0
142,0.0511034,5.2728,5.3239,39,15,54,4451,8.92517,6.55996,15.4851,3807.82,0
143,0.0483731,5.88849,5.93686,13,16,29,4475,11.402,10.3973,21.7993,3836.56,0
144,0.0488805,5.17721,5.22609,33,21,54,4520,10.2391,6.86936,17.1085,3859.9,0
145,0.0497566,4.86833,4.91809,18,6,24,4539,12.7355,9.88657,22.6221,3888.44,0
146,0.0411644,9.37298,9.41415,40,36,76,4601,8.881,6.26896,15.15,3914.01,0
147,0.049709,4.41593,4.46564,14,7,21,4618,11.7309,10.8947,22.6256,3942.11,0
148,0.0493482,8.09002,8.13937,29,21,50,4664,9.10658,9.36838,18.475,3969.73,0
149,0.0510171,5.19429,5.24531,12,10,22,4681,12.2541,10.228,22.4821,3998.46,0
150,0.0511626,7.50261,7.55377,43,26,69,4733,10.5634,7.41469,17.9781,4024.99,0
151,0.0507692,4.9701,5.02087,15,10,25,4754,11.9294,10.292,22.2215,4053.24,0
152,0.0517664,5.04322,5.09499,35,25,60,4802,10.0044,6.89309,16.8975,4076.24,0
153,0.052087,3.18131,3.2334,10,13,23,4822,11.9394,10.7241,22.6635,4103.14,0
154,0.0506499,6.50346,6.55411,30,25,55,4869,9.84147,7.34695,17.1884,4127.89,0
155,0.0523505,8.2715,8.32385,13,13,26,4892,11.8037,10.4416,22.2453,4159.46,0
156,0.0512678,5.20919,5.26046,27,20,47,4938,9.64195,7.25715,16.8991,4182.62,0
157,0.0510544,6.50323,6.55428,10,11,21,4958,12.1909,10.0027,22.1937,4212.38,0
158,0.0538374,5.12624,5.18008,38,7,45,4994,10.4028,7.61083,18.0136,4236.58,0
159,0.0523415,6.51812,6.57046,6,9,15,5007,12.3837,11.1064,23.4901,4267.64,0
160,0.0494944,7.1565,7.20599,32,20,52,5054,8.71644,7.38844,16.1049,4291.96,0
161,0.0515005,7.38546,7.43696,12,6,18,5067,12.2073,10.9689,23.1762,4323.57,0
162,0.0543636,4.78253,4.8369,32,12,44,5100,11.0718,7.4497,18.5215,4347.94,0
163,0.0514001,6.60203,6.65343,12,4,16,5115,12.8975,10.8141,23.7116,4379.31,0
164,0.0547277,8.26377,8.31849,15,16,31,5142,11.5295,8.47292,20.0024,4408.63,0
165,0.0534548,9.37436,9.42782,4,10,14,5154,12.6554,11.9376,24.593,4443.66,0
166,0.0528366,5.321,5.37384,29,13,42,5189,9.73287,7.75157,17.4845,4467.52,0
167,0.0530973,6.90478,6.95788,12,7,19,5206,12.0647,10.6605,22.7252,4498.21,0
168,0.0543876,4.86865,4.92303,34,15,49,5247,10.4097,7.8653,18.2751,4522.41,0
169,0.0553042,6.28643,6.34174,15,8,23,5264,11.8968,11.0084,22.9053,4552.66,0
170,0.0529893,6.11735,6.17034,34,17,51,5309,9.6026,7.04543,16.6481,4576.48,0
171,0.0544532,7.7927,7.84715,16,8,24,5327,10.6371,10.9344,21.5715,4606.91,0
172,0.0559285,5.17771,5.23364,34,21,55,5375,9.63303,6.61396,16.247,4629.39,0
173,0.054578,5.73006,5.78464,12,13,25,5398,11.3893,10.5199,21.9092,4658.09,0
174,0.0561107,6.74439,6.8005,35,20,55,5440,10.2295,7.02232,17.2519,4683.15,0
175,0.0556613,8.49776,8.55342,15,9,24,5460,11.5377,9.79768,21.3354,4714.04,0
176,0.0550645,5.10129,5.15636,30,24,54,5507,9.75661,7.33242,17.089,4737.29,0
177,0.0559472,6.11224,6.16818,11,16,27,5526,12.7079,9.97819,22.6862,4767.15,0
178,0.0577292,7.79267,7.8504,34,19,53,5571,9.37833,7.03156,16.4099,4792.41,0
179,0.0576323,9.54235,9.59998,17,15,32,5597,9.8188,11.372,21.1908,4824.21,0
180,0.0576996,5.72985,5.78755,34,23,57,5644,9.79514,6.38993,16.1851,4847.19,0
181,0.0569682,6.91048,6.96744,18,11,29,5664,12.2325,10.4712,22.7038,4877.86,0
182,0.0571872,8.65796,8.71515,38,15,53,5710,9.41109,7.53932,16.9504,4904.53,0
183,0.0570341,4.70056,4.75759,16,4,20,5729,10.9249,10.2092,21.1342,4931.43,0
184,0.0565738,5.96126,6.01783,41,14,55,5774,9.42252,7.04943,16.472,4954.92,0
185,0.0580157,8.03731,8.09532,15,9,24,5790,12.6974,10.2342,22.9316,4986.95,0
186,0.0579221,6.44742,6.50535,14,5,19,5806,12.034,10.8253,22.8594,5068.35,0
187,0.0344599,1.05365,1.08811,0,0,0,5806,11.4922,1.43E-07,11.4922,5081.93,1
188,0.0334152,1.05353,1.08695,0,0,0,5806,11.6689,1.90E-07,11.6689,5095.69,2
189,0.058417,4.73246,4.79088,36,12,48,5845,8.60355,7.98928,16.5928,5118.08,2
190,0.0562584,4.72896,4.78521,17,8,25,5862,11.8287,10.7023,22.531,5164.25,2
191,0.0596926,6.25302,6.31271,41,19,60,5913,8.28717,6.72939,15.0166,5186.59,2
192,0.0583797,7.95599,8.01437,15,10,25,5931,10.7051,11.6952,22.4003,5218.01,2
193,0.0604071,5.84483,5.90524,35,14,49,5970,10.3388,6.94069,17.2795,5312.33,2
194,0.0599338,6.90368,6.96362,9,9,18,5983,12.5424,10.9701,23.5126,5343.81,2
195,0.0340801,0.848806,0.882886,0,0,0,5983,10.3502,1.80E-07,10.3503,5389.99,3
196,0.034014,0.850658,0.884672,0,0,0,5983,10.6666,1.33E-07,10.6666,5436.49,4
197,0.0587481,5.44221,5.50095,27,11,38,6013,10.7683,7.98926,18.7576,5512.96,4
198,0.0584076,8.03874,8.09715,11,7,18,6027,12.2627,11.4005,23.6632,5545.72,4
199,0.0590428,5.04605,5.10509,13,7,20,6042,11.657,10.3996,22.0566,5573.89,4
200,0.0592516,7.85376,7.91301,12,8,20,6056,11.8874,11.0473,22.9348,5762.43,4
201,0.0593383,9.03189,9.09123,27,17,44,6094,9.60256,8.8947,18.4973,5791.02,4
202,0.0588639,9.18605,9.24491,16,7,23,6113,12.0285,10.0844,22.1129,5823.39,4
203,0.0601274,9.37622,9.43635,35,24,59,6159,9.59966,7.54833,17.148,5850.97,4
204,0.0596518,4.41526,4.47491,12,5,17,6174,11.76,10.8967,22.6567,5879.11,4
205,0.0576097,4.96161,5.01922,33,19,52,6216,10.4418,7.28068,17.7225,5902.86,4
206,0.0574449,5.82464,5.88208,7,8,15,6226,12.6161,11.3499,23.966,5933.71,4
207,0.0609874,6.0944,6.15539,44,25,69,6277,9.28482,6.25477,15.5396,5956.41,4
208,0.0590793,2.4574,2.51648,16,1,17,6293,11.1021,11.0209,22.123,5982.05,4
209,0.0598186,7.0568,7.11662,37,21,58,6342,10.4509,6.67589,17.1268,6007.3,4
