iteration,recover,entiretime,formerflip,laterflip,sumflip,pageflip,hammertime,sumtime,
120, 0.351135, 5.04185, 5.39298, 30, 12, 42, 3581, 18.799, 3230.21,
121, 0.349868, 5.20079, 5.55066, 28, 21, 49, 3622, 17.9147, 3254.68,
122, 0.35124, 2.76886, 3.1201, 10, 1, 11, 3632, 23.5509, 3282.35,
123, 0.347745, 4.81574, 5.16349, 40, 13, 53, 3681, 16.4575, 3304.98,
124, 0.34998, 6.12521, 6.47519, 24, 19, 43, 3714, 18.7167, 3331.18,
125, 0.349041, 8.33622, 8.68526, 13, 12, 25, 3735, 22.6772, 3363.54,
126, 0.350188, 4.65009, 5.00027, 13, 8, 21, 3753, 22.5059, 3392.05,
127, 0.353586, 4.58015, 4.93374, 9, 2, 11, 3764, 23.0745, 3421.07,
128, 0.352513, 6.38531, 6.73782, 17, 8, 25, 3786, 22.2227, 3451.03,
129, 0.351589, 3.78968, 4.14126, 36, 14, 50, 3832, 16.7959, 3472.97,
130, 0.350288, 3.38547, 3.73576, 9, 5, 14, 3842, 24.005, 3501.72,
131, 0.355202, 4.77166, 5.12686, 28, 18, 46, 3879, 18.1797, 3526.03,
132, 0.356291, 6.953, 7.30929, 9, 13, 22, 3896, 23.1752, 3557.52,
133, 0.355098, 2.98791, 3.34301, 15, 7, 22, 3914, 22.1813, 3584.05,
134, 0.356102, 6.08689, 6.443, 18, 5, 23, 3933, 21.766, 3613.26,
135, 0.353339, 5.61064, 5.96398, 13, 2, 15, 3945, 22.7643, 3642.99,
136, 0.354708, 7.63008, 7.98479, 12, 10, 22, 3965, 22.1794, 3674.16,
137, 0.350881, 2.53345, 2.88433, 19, 2, 21, 3983, 22.3527, 3700.4,
138, 0.35337, 7.15686, 7.51023, 13, 9, 22, 3999, 22.7225, 3731.64,
139, 0.351951, 7.71653, 8.06848, 11, 6, 17, 4015, 22.1511, 3762.86,
140, 0.353293, 6.98934, 7.34263, 14, 7, 21, 4033, 22.3539, 3793.57,
141, 0.354904, 2.22342, 2.57833, 19, 3, 22, 4051, 21.7892, 3818.94,
142, 0.361408, 6.16988, 6.53129, 12, 8, 20, 4070, 22.2005, 3848.67,
143, 0.353416, 8.84152, 9.19494, 35, 21, 56, 4118, 16.6497, 3875.52,
144, 0.356511, 5.72875, 6.08526, 30, 13, 43, 4156, 16.754, 3899.37,
145, 0.355369, 4.78421, 5.13958, 13, 6, 19, 4173, 22.2155, 3927.73,
146, 0.35877, 4.70435, 5.06312, 32, 14, 46, 4213, 17.0825, 3950.88,
147, 0.353687, 9.07232, 9.42601, 41, 16, 57, 4259, 16.7916, 3978.1,
148, 0.356164, 2.06315, 2.41931, 12, 5, 17, 4272, 22.9379, 4004.46,
149, 0.354939, 7.78268, 8.13762, 36, 19, 55, 4313, 17.1894, 4030.79,
150, 0.356086, 7.30759, 7.66368, 39, 21, 60, 4362, 18.011, 4057.47,
151, 0.355257, 6.92053, 7.27579, 7, 11, 18, 4379, 23.6082, 4089.36,
152, 0.355762, 4.15403, 4.50979, 11, 5, 16, 4390, 24.0238, 4118.9,
153, 0.360612, 5.78241, 6.14302, 13, 11, 24, 4411, 21.1897, 4147.23,
154, 0.362158, 5.78544, 6.1476, 31, 22, 53, 4458, 16.3384, 4170.73,
155, 0.359948, 6.86983, 7.22977, 11, 10, 21, 4475, 22.6307, 4201.59,
156, 0.364321, 5.45386, 5.81818, 18, 12, 30, 4502, 21.7239, 4230.14,
157, 0.354737, 5.72359, 6.07833, 15, 8, 23, 4520, 21.2662, 4258.49,
158, 0.358428, 4.78191, 5.14033, 10, 3, 13, 4532, 23.0256, 4287.66,
159, 0.356523, 9.9308, 10.2873, 11, 13, 24, 4552, 22.7046, 4321.65,
160, 0.358106, 4.62945, 4.98755, 11, 5, 16, 4564, 23.4933, 4351.14,
161, 0.358507, 7.08982, 7.44833, 34, 17, 51, 4610, 16.3564, 4375.95,
162, 0.360254, 7.46703, 7.82729, 32, 24, 56, 4658, 18.6272, 4403.41,
163, 0.358449, 3.2037, 3.56215, 14, 2, 16, 4669, 23.6957, 4431.67,
164, 0.361194, 6.27495, 6.63614, 25, 18, 43, 4707, 17.5925, 4456.9,
165, 0.359634, 4.94346, 5.30309, 27, 13, 40, 4743, 17.3951, 4480.6,
166, 0.358573, 4.23533, 4.5939, 37, 18, 55, 4786, 16.7447, 4502.95,
167, 0.359517, 8.49171, 8.85123, 35, 29, 64, 4842, 16.4309, 4529.23,
168, 0.365996, 3.66956, 4.03555, 17, 7, 24, 4862, 22.7263, 4557,
169, 0.358463, 4.22598, 4.58445, 10, 10, 20, 4879, 22.8723, 4585.46,
170, 0.367525, 8.72876, 9.09628, 28, 23, 51, 4921, 18.1194, 4613.68,
171, 0.359834, 7.0894, 7.44924, 14, 9, 23, 4938, 23.2872, 4645.42,
172, 0.361585, 7.6388, 8.00039, 16, 12, 28, 4963, 21.4385, 4675.87,
173, 0.361914, 4.39144, 4.75336, 28, 18, 46, 5001, 18.0857, 4699.71,
174, 0.367019, 5.9302, 6.29722, 10, 13, 23, 5022, 22.1473, 4729.16,
175, 0.363048, 7.4184, 7.78145, 8, 14, 22, 5039, 23.7863, 4761.73,
176, 0.363553, 8.73579, 9.09934, 28, 29, 57, 5088, 16.5182, 4788.35,
177, 0.365604, 8.42654, 8.79214, 8, 8, 16, 5100, 24.748, 4822.9,
178, 0.362857, 7.85357, 8.21643, 19, 9, 28, 5123, 22.1237, 4854.24,
179, 0.361331, 1.99193, 2.35326, 14, 3, 17, 5133, 23.9082, 4881.51,
180, 0.36095, 5.66184, 6.02279, 29, 19, 48, 5174, 17.2274, 4905.76,
181, 0.363841, 7.54637, 7.91021, 37, 23, 60, 5228, 16.6588, 4931.34,
182, 0.362498, 5.26859, 5.63108, 30, 13, 43, 5264, 17.9751, 4955.95,
183, 0.364517, 6.40426, 6.76878, 37, 24, 61, 5315, 16.7594, 4980.48,
184, 0.366112, 3.59863, 3.96475, 29, 16, 45, 5354, 17.1157, 5002.56,
185, 0.367028, 5.45402, 5.82104, 27, 10, 37, 5384, 20.1123, 5029.5,
186, 0.367862, 7.57262, 7.94048, 10, 7, 17, 5399, 23.4682, 5061.92,
187, 0.365017, 4.2212, 4.58621, 15, 1, 16, 5412, 22.2517, 5089.76,
188, 0.368092, 6.2771, 6.64519, 9, 5, 14, 5424, 23.9918, 5121.4,
189, 0.371676, 5.40812, 5.7798, 23, 11, 34, 5447, 21.3512, 5149.53,
190, 0.364716, 2.15507, 2.51978, 20, 3, 23, 5468, 21.2141, 5174.27,
191, 0.365944, 4.15454, 4.52049, 24, 15, 39, 5497, 20.5842, 5200.38,
192, 0.366178, 6.8318, 7.19798, 7, 2, 9, 5506, 23.86, 5232.44,
193, 0.366605, 5.96513, 6.33174, 26, 16, 42, 5539, 18.0768, 5257.86,
194, 0.367178, 4.23298, 4.60016, 14, 6, 20, 5551, 23.0358, 5286.5,
195, 0.366369, 6.04201, 6.40838, 11, 10, 21, 5566, 23.5825, 5317.49,
196, 0.368878, 7.30544, 7.67432, 27, 16, 43, 5603, 17.6354, 5343.81,
197, 0.365856, 3.5941, 3.95995, 37, 12, 49, 5646, 16.7787, 5365.55,
198, 0.365798, 3.28037, 3.64616, 11, 6, 17, 5660, 23.1444, 5393.35,
199, 0.366566, 5.72306, 6.08962, 30, 15, 45, 5696, 16.6123, 5417.05,
200, 0.364232, 5.40779, 5.77202, 17, 7, 24, 5714, 22.3661, 5446.2,
201, 0.364957, 5.33196, 5.69692, 19, 2, 21, 5733, 22.0227, 5474.92,
